date;clot
06/10/2017;0,763
09/10/2017;0,764
10/10/2017;0,755
11/10/2017;0,772
12/10/2017;0,759
13/10/2017;0,771
16/10/2017;0,763
17/10/2017;0,761
18/10/2017;0,761
19/10/2017;0,762
20/10/2017;0,769
23/10/2017;0,772
24/10/2017;0,765
25/10/2017;0,756
26/10/2017;0,753
27/10/2017;0,741
30/10/2017;0,745
31/10/2017;0,745
01/11/2017;0,752
02/11/2017;0,764
03/11/2017;0,758
06/11/2017;0,757
07/11/2017;0,746
08/11/2017;0,736
09/11/2017;0,725
10/11/2017;0,713
13/11/2017;0,69
14/11/2017;0,67
15/11/2017;0,682
16/11/2017;0,69
17/11/2017;0,679
20/11/2017;0,683
21/11/2017;0,683
22/11/2017;0,692
23/11/2017;0,723
24/11/2017;0,723
27/11/2017;0,709
28/11/2017;0,705
29/11/2017;0,701
30/11/2017;0,703
01/12/2017;0,698
04/12/2017;0,706
05/12/2017;0,71
06/12/2017;0,734
07/12/2017;0,747
08/12/2017;0,755
11/12/2017;0,76
12/12/2017;0,76
13/12/2017;0,738
14/12/2017;0,727
15/12/2017;0,734
18/12/2017;0,735
19/12/2017;0,74
20/12/2017;0,729
21/12/2017;0,735
22/12/2017;0,738
27/12/2017;0,733
28/12/2017;0,73
29/12/2017;0,721
02/01/2018;0,726
03/01/2018;0,725
04/01/2018;0,734
05/01/2018;0,739
08/01/2018;0,753
09/01/2018;0,752
10/01/2018;0,752
11/01/2018;0,748
12/01/2018;0,744
15/01/2018;0,739
16/01/2018;0,737
17/01/2018;0,725
18/01/2018;0,718
19/01/2018;0,721
22/01/2018;0,732
23/01/2018;0,741
24/01/2018;0,735
25/01/2018;0,726
26/01/2018;0,721
29/01/2018;0,713
30/01/2018;0,722
31/01/2018;0,725
01/02/2018;0,718
02/02/2018;0,709
05/02/2018;0,692
06/02/2018;0,681
07/02/2018;0,721
08/02/2018;0,709
09/02/2018;0,699
12/02/2018;0,703
13/02/2018;0,684
14/02/2018;0,688
15/02/2018;0,688
16/02/2018;0,697
19/02/2018;0,698
20/02/2018;0,719
21/02/2018;0,72
22/02/2018;0,717
23/02/2018;0,732
26/02/2018;0,738
27/02/2018;0,732
28/02/2018;0,74
01/03/2018;0,74
02/03/2018;0,725
05/03/2018;0,729
06/03/2018;0,772
07/03/2018;0,787
08/03/2018;0,823
09/03/2018;0,832
12/03/2018;0,82
13/03/2018;0,801
14/03/2018;0,783
15/03/2018;0,805
16/03/2018;0,809
19/03/2018;0,812
20/03/2018;0,8
21/03/2018;0,795
22/03/2018;0,78
23/03/2018;0,773
26/03/2018;0,762
27/03/2018;0,761
28/03/2018;0,767
29/03/2018;0,771
03/04/2018;0,759
04/04/2018;0,758
05/04/2018;0,798
06/04/2018;0,853
09/04/2018;0,854
10/04/2018;0,88
11/04/2018;0,855
12/04/2018;0,861
13/04/2018;0,849
16/04/2018;0,852
17/04/2018;0,838
18/04/2018;0,85
19/04/2018;0,862
20/04/2018;0,876
23/04/2018;0,87
24/04/2018;0,849
25/04/2018;0,826
26/04/2018;0,83
27/04/2018;0,823
30/04/2018;0,818
02/05/2018;0,837
03/05/2018;0,837
04/05/2018;0,855
07/05/2018;0,862
08/05/2018;0,842
09/05/2018;0,829
10/05/2018;0,797
11/05/2018;0,804
14/05/2018;0,803
15/05/2018;0,806
16/05/2018;0,773
17/05/2018;0,768
18/05/2018;0,742
21/05/2018;0,732
22/05/2018;0,738
23/05/2018;0,731
24/05/2018;0,731
25/05/2018;0,728
28/05/2018;0,714
29/05/2018;0,698
30/05/2018;0,702
31/05/2018;0,687
01/06/2018;0,7
04/06/2018;0,699
05/06/2018;0,687
06/06/2018;0,692
07/06/2018;0,681
08/06/2018;0,672
11/06/2018;0,687
12/06/2018;0,686
13/06/2018;0,676
14/06/2018;0,684
15/06/2018;0,675
18/06/2018;0,677
19/06/2018;0,681
20/06/2018;0,679
21/06/2018;0,666
22/06/2018;0,668
25/06/2018;0,658
26/06/2018;0,639
27/06/2018;0,646
28/06/2018;0,636
29/06/2018;0,637
02/07/2018;0,628
03/07/2018;0,649
04/07/2018;0,652
05/07/2018;0,654
06/07/2018;0,655
09/07/2018;0,653
10/07/2018;0,637
11/07/2018;0,632
12/07/2018;0,615
13/07/2018;0,607
16/07/2018;0,607
17/07/2018;0,608
18/07/2018;0,605
19/07/2018;0,606
20/07/2018;0,602
23/07/2018;0,607
24/07/2018;0,608
25/07/2018;0,617
26/07/2018;0,625
27/07/2018;0,656
30/07/2018;0,66
31/07/2018;0,659
01/08/2018;0,65
02/08/2018;0,638
03/08/2018;0,64
06/08/2018;0,635
07/08/2018;0,639
08/08/2018;0,63
09/08/2018;0,63
10/08/2018;0,616
13/08/2018;0,611
14/08/2018;0,609
16/08/2018;0,608
17/08/2018;0,601
20/08/2018;0,601
21/08/2018;0,612
22/08/2018;0,61
23/08/2018;0,6
24/08/2018;0,599
27/08/2018;0,6
28/08/2018;0,594
29/08/2018;0,585
30/08/2018;0,568
31/08/2018;0,549
03/09/2018;0,555
04/09/2018;0,525
05/09/2018;0,517
06/09/2018;0,523
07/09/2018;0,529
10/09/2018;0,544
11/09/2018;0,546
12/09/2018;0,541
13/09/2018;0,533
14/09/2018;0,529
17/09/2018;0,55
18/09/2018;0,571
19/09/2018;0,568
20/09/2018;0,569
21/09/2018;0,569
24/09/2018;0,561
25/09/2018;0,558
26/09/2018;0,547
27/09/2018;0,545
28/09/2018;0,523
01/10/2018;0,495
02/10/2018;0,483
03/10/2018;0,485
04/10/2018;0,496
05/10/2018;0,496
08/10/2018;0,486
09/10/2018;0,497
10/10/2018;0,503
11/10/2018;0,501
12/10/2018;0,49
15/10/2018;0,5
16/10/2018;0,512
17/10/2018;0,511
18/10/2018;0,515
19/10/2018;0,499
22/10/2018;0,501
23/10/2018;0,503
24/10/2018;0,498
25/10/2018;0,49
26/10/2018;0,484
29/10/2018;0,505
30/10/2018;0,515
31/10/2018;0,519
01/11/2018;0,534
02/11/2018;0,541
05/11/2018;0,535
06/11/2018;0,531
07/11/2018;0,535
08/11/2018;0,542
09/11/2018;0,516
12/11/2018;0,53
13/11/2018;0,538
14/11/2018;0,521
15/11/2018;0,516
16/11/2018;0,526
19/11/2018;0,547
20/11/2018;0,535
21/11/2018;0,542
22/11/2018;0,532
23/11/2018;0,547
26/11/2018;0,572
27/11/2018;0,576
28/11/2018;0,57
29/11/2018;0,565
30/11/2018;0,575
03/12/2018;0,575
04/12/2018;0,569
05/12/2018;0,571
06/12/2018;0,554
07/12/2018;0,56
10/12/2018;0,548
11/12/2018;0,565
12/12/2018;0,57
13/12/2018;0,565
14/12/2018;0,562
17/12/2018;0,558
18/12/2018;0,549
19/12/2018;0,545
20/12/2018;0,52
21/12/2018;0,5
27/12/2018;0,482
28/12/2018;0,483
02/01/2019;0,49
03/01/2019;0,5
04/01/2019;0,506
07/01/2019;0,504
08/01/2019;0,506
09/01/2019;0,496
10/01/2019;0,5
11/01/2019;0,501
14/01/2019;0,502
15/01/2019;0,502
16/01/2019;0,516
17/01/2019;0,526
18/01/2019;0,489
21/01/2019;0,476
22/01/2019;0,446
23/01/2019;0,448
24/01/2019;0,453
25/01/2019;0,46
28/01/2019;0,459
29/01/2019;0,458
30/01/2019;0,463
31/01/2019;0,486
01/02/2019;0,484
04/02/2019;0,493
05/02/2019;0,502
06/02/2019;0,504
07/02/2019;0,49
08/02/2019;0,472
11/02/2019;0,48
12/02/2019;0,482
13/02/2019;0,49
14/02/2019;0,483
15/02/2019;0,514
18/02/2019;0,53
19/02/2019;0,536
20/02/2019;0,539
